Name,Phone,Email,Address,Latitude,Longitude,Gender,DOB,Helps
Jacqueline Mason,+1-188-114-2234x715,benjamin33@gmail.com,"79456 Shawn Island, Gainesville, FL",29.634679,-82.319546,Other,1957-07-24,Follow-up;Water;Job Aid;Financial Aid;Recruitment;Evacuation
Tara Allison,726.984.3750x3583,tamara23@perez-davis.com,"3485 Bernard Knolls, Gainesville, FL",29.665869,-82.393834,Other,1998-06-29,Remapping;Waste Removal;Hazard Map;Language Help
Jamie Roberts,9581999009,zbradley@vargas.com,"80337 Kimberly Mill Apt. 457, Gainesville, FL",29.632147,-82.366773,Other,1950-01-13,Job Aid;Crowd Control;Legal;Sanitation;Recruitment;Resource Sharing
Karen Gray,279.508.3889x128,wanglarry@james-sanchez.com,"177 Martinez Branch, Gainesville, FL",29.652676,-82.347428,Female,1955-05-18,Collection;Resource Sharing;Financial Aid;Medical Camps;Legal;School
Stephen Davis,001-280-908-6642x7217,hallcolton@williams.net,"551 David Cliff, Gainesville, FL",29.637362,-82.345544,Male,1983-06-16,Crowd Control;Hygiene;Evacuation;Blood Donation
Catherine Durham,(064)356-5450x897,michaeltownsend@gmail.com,"660 Daniel Extension, Gainesville, FL",29.62062,-82.321217,Female,1997-09-07,Resource Sharing;Information;Remapping;Alerts;Training;Assessment
Jennifer Mora,(733)164-7566x5783,craig23@hotmail.com,"3581 Maria Crest, Gainesville, FL",29.655514,-82.323893,Other,1959-12-13,Contacts;Legal;Evacuation;Cash Aid;Medication;Lost & Found
Elizabeth Caldwell,+1-803-758-5042x5988,juareztara@washington.com,"35769 Walls Highway Suite 558, Gainesville, FL",29.672599,-82.338922,Male,1969-03-04,Lost & Found;Counseling;Food Packs;Clearance
Neil Santos,367.893.5261,dunnsarah@yahoo.com,"0498 James Squares, Gainesville, FL",29.656609,-82.376745,Other,1953-12-04,Training;Supplies;Security
Jessica Bowers,+1-738-950-5770x6606,christinastanley@stevens-cruz.com,"647 Emma Corner, Gainesville, FL",29.675467,-82.361106,Female,1980-04-20,Toolkits;Support;Transport;Legal;Medical Camps
Frederick Holmes,(067)853-4610x9982,cbentley@hotmail.com,"5283 Dawn Parks Apt. 478, Gainesville, FL",29.624129,-82.379812,Other,1983-09-05,Clothing;Psych Support;Cash Aid
Virginia Johnson,394-243-7661,bauerjoseph@yahoo.com,"889 Williams Common, Gainesville, FL",29.633006,-82.355809,Male,1955-01-22,Water;Relocation;Psych Support;Temporary Shelter;Job Aid;Legal;Documentation
